DATE,IPG2211A2N
2004-05-01,87.9920
2004-06-01,94.3844
2004-07-01,100.5841
2004-08-01,99.0100
2004-09-01,92.9081
2004-10-01,86.4832
2004-11-01,88.5208
2004-12-01,104.4579
2005-01-01,109.8799
2005-02-01,100.5318
2005-03-01,97.8611
2005-04-01,85.4785
2005-05-01,86.1655
2005-06-01,98.3542
2005-07-01,107.2906
2005-08-01,108.4607
2005-09-01,98.1645
2005-10-01,88.8911
2005-11-01,89.3045
2005-12-01,106.8269
2006-01-01,103.1206
2006-02-01,99.9174
2006-03-01,96.9755
2006-04-01,86.1584
2006-05-01,88.6406
2006-06-01,98.9874
2006-07-01,109.3715
2006-08-01,109.9677
2006-09-01,94.3760
2006-10-01,89.0332
2006-11-01,90.9127
2006-12-01,101.5273
2007-01-01,110.4562
2007-02-01,110.2901
2007-03-01,97.8955
2007-04-01,89.6374
2007-05-01,90.8789
2007-06-01,99.7053
2007-07-01,106.2775
2007-08-01,112.7485
2007-09-01,100.3063
2007-10-01,91.8763
2007-11-01,92.7679
2007-12-01,105.5047
2008-01-01,113.5114
2008-02-01,106.9353
2008-03-01,99.2113
2008-04-01,89.8325
2008-05-01,90.0567
2008-06-01,102.5978
2008-07-01,109.3954
2008-08-01,106.2514
2008-09-01,96.5074
2008-10-01,89.8177
2008-11-01,92.5269
2008-12-01,107.8499
2009-01-01,115.1378
2009-02-01,102.8996
2009-03-01,96.3618
2009-04-01,86.8508
2009-05-01,86.2756
2009-06-01,95.9408
2009-07-01,102.4542
2009-08-01,104.2744
2009-09-01,93.5585
2009-10-01,87.9675
2009-11-01,88.0805
2009-12-01,109.2423
2010-01-01,117.5659
2010-02-01,109.2464
2010-03-01,97.0413
2010-04-01,85.1368
2010-05-01,89.6751
2010-06-01,103.1430
2010-07-01,111.7025
2010-08-01,111.8227
2010-09-01,99.0688
2010-10-01,87.9396
2010-11-01,91.6622
2010-12-01,113.0772
2011-01-01,118.1747
2011-02-01,106.0300
2011-03-01,97.7860
2011-04-01,88.0659
2011-05-01,88.7713
2011-06-01,101.4095
2011-07-01,113.2241
2011-08-01,112.0575
2011-09-01,98.0704
2011-10-01,88.9182
2011-11-01,92.2277
2011-12-01,105.5065
2012-01-01,109.8604
2012-02-01,101.4805
2012-03-01,91.7198
2012-04-01,85.8703
2012-05-01,91.0916
2012-06-01,99.4051
2012-07-01,111.3158
2012-08-01,108.1445
2012-09-01,95.1143
2012-10-01,88.5948
2012-11-01,92.4907
2012-12-01,103.1480
2013-01-01,113.2479
2013-02-01,104.6789
2013-03-01,101.0126
2013-04-01,89.1732
2013-05-01,89.2645
2013-06-01,99.0725
2013-07-01,108.6169
2013-08-01,106.7157
2013-09-01,97.7857
2013-10-01,90.2503
2013-11-01,95.5273
2013-12-01,111.6866
2014-01-01,122.2387
2014-02-01,111.0717
2014-03-01,102.9346
2014-04-01,88.5292
2014-05-01,90.5658
2014-06-01,100.2190
2014-07-01,107.1212
2014-08-01,106.8881
2014-09-01,99.0377
2014-10-01,90.8660
2014-11-01,97.7417
2014-12-01,107.4704
2015-01-01,118.2673
2015-02-01,114.5214
2015-03-01,102.5681
2015-04-01,87.9088
2015-05-01,89.4313
2015-06-01,101.4587
2015-07-01,110.4349
2015-08-01,109.2390
2015-09-01,100.4019
2015-10-01,89.7370
2015-11-01,90.9297
2015-12-01,100.8796
2016-01-01,115.2108
2016-02-01,104.4120
2016-03-01,92.8431
2016-04-01,86.8528
2016-05-01,88.1400
2016-06-01,101.8847
2016-07-01,112.4999
2016-08-01,113.7991
2016-09-01,100.7410
2016-10-01,89.5137
2016-11-01,91.2192
2016-12-01,112.2788
2017-01-01,114.7978
2017-02-01,98.2030
2017-03-01,99.6310
2017-04-01,85.9089
2017-05-01,89.2050
2017-06-01,99.1927
2017-07-01,109.8474
2017-08-01,106.3851
2017-09-01,95.8059
2017-10-01,90.8133
2017-11-01,95.7574
2017-12-01,114.4528
2018-01-01,126.4049
